filename,creator,title,alternate_title,work_type,date,description,location,subjects,collection,local_identifier,source,resource_type,file_name,ssid,rights_notes,disclaimer
11_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, main facade",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T7,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t007_post_as_8b.fpx.jpg,11984337,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
13_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level, main entrance",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T10,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.010.fpx.jpg,11985382,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
34_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, main facade",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T7.1,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t007.1_post_as_8b.fpx.jpg,11986098,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
36_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,view of construction,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R6,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.006.fpx.jpg,11974343,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
54_Rohe-LakeShoreDrive-1948-1951.jpg,Ludwig Mies van der Rohe,Lake Shore Drive Apartments,"exterior, street level",architecture,1948-1951,Photographer: Ezra Stoller,"860-880 North Lake Shore Drive, Chicago, Illinois","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",56Q2,Image and original data provided by Esto,Images,/fpx/stoller/d0001/56q.002.fpx.jpg,11969731,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
56_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, street level walkway, view to street",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T27,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t027_post_as_8b.fpx.jpg,11981244,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
63_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,construction site,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R1,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.001.fpx.jpg,11983158,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
1_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level, stairway",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T18,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t018_post_as_8b.fpx.jpg,11979055,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
23_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, main lobby",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T30,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.030.fpx.jpg,11960808,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
46_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, roof",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T22,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t022_post_as_8b.fpx.jpg,11958850,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
